File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\UPOEngine\Src\UPOEngine\GFX\UPrimitiveDrawer.cpp,88,66,49,7,17,0,5,5,0,0
C:\UPOEngine\Src\UPOEngine\GFX\URenderer.cpp,85,52,32,5,27,0,6,9,0,0
C:\UPOEngine\Src\UPOEngine\GFX\UScreenDrawer.cpp,120,90,77,0,20,0,10,12,0,0
C:\UPOEngine\Src\UPOEngine\GFX\UTestQuad.cpp,40,28,23,0,9,0,3,3,0,0
C:\UPOEngine\Src\UPOEngine\GFX\UGFX.h,6,5,0,0,1,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\GFX\UMeshDrawer.h,8,5,2,0,3,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\GFX\UPrimitiveDrawer.h,42,30,22,0,10,0,2,3,0,0
C:\UPOEngine\Src\UPOEngine\GFX\URenderer.h,40,26,18,0,11,0,3,3,0,0
C:\UPOEngine\Src\UPOEngine\GFX\UScreenDrawer.h,46,34,27,0,10,1,2,5,0,0
C:\UPOEngine\Src\UPOEngine\GFX\UTestQuad.h,21,16,11,0,5,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UEditorContextDX.cpp,270,189,137,32,49,1,32,282,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXContext.cpp,351,255,184,40,61,1,35,285,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXDevice.cpp,9,6,3,0,3,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXDeviceDX.cpp,40,31,20,5,7,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXDeviceGL.cpp,8,5,2,0,3,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXLauncherWin.cpp,489,364,243,58,63,0,62,437,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UEditorContextDX.h,34,25,19,0,9,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXContext.h,37,29,24,0,6,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXContextGL.h,10,5,1,0,5,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXCore.h,4,3,0,0,1,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXDevice.h,578,475,222,0,45,5,58,327,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXDeviceDX.h,1064,921,629,151,89,3,54,69,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXDeviceGL.h,159,129,75,19,17,2,13,27,0,0
C:\UPOEngine\Src\UPOEngine\GFXCore\UGFXLauncherWin.h,66,48,40,0,18,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UClassInfo.cpp,382,321,176,63,44,4,17,36,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UEnumInfo.cpp,59,46,22,14,8,0,5,5,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UMeta.cpp,154,133,70,3,21,1,0,10,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UMetaSys.cpp,283,218,145,30,43,0,22,36,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UTypeInfo.cpp,142,102,67,8,7,0,33,42,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UClassInfo.h,195,128,100,6,43,4,24,118,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UEnumInfo.h,104,74,44,0,27,2,3,6,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UMeta.h,80,72,49,0,8,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UMetaSys.h,352,246,161,6,58,11,48,237,0,0
C:\UPOEngine\Src\UPOEngine\Meta\UTypeInfo.h,148,108,64,0,25,1,15,88,0,0
C:\UPOEngine\Src\UPOEngine\Misc\UMisc.h,2,1,0,0,1,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Object\UObject.cpp,48,36,16,5,10,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\Object\UObjectArchive.cpp,938,742,407,102,119,7,77,153,0,0
C:\UPOEngine\Src\UPOEngine\Object\UObjectPtr.cpp,102,83,57,6,12,0,7,9,0,0
C:\UPOEngine\Src\UPOEngine\Object\UObjectSys.cpp,31,23,14,1,6,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\Object\UObject.h,49,34,23,2,13,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\Object\UObjectArchive.h,38,32,21,3,4,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\Object\UObjectPtr.h,112,98,61,7,10,0,4,6,0,0
C:\UPOEngine\Src\UPOEngine\Object\UObjectSys.h,34,25,16,2,6,0,3,13,0,0
